"M","nu","test_error","tpr","fpr","tp","fp","tn","fn","scenario","family","rep"
5,0,543.349078443449,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",1
10,0,618.860596730328,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",1
20,0,492.356284703988,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",1
30,0,521.196939552456,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",1
40,0,472.997079737131,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",1
50,0,472.014521908827,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",1
60,0,482.712989671718,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",1
75,0,528.864935130859,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",1
100,0,543.731264679961,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",1
5,0,460.003929945329,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",2
10,0,277.421513876876,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",2
20,0,297.29487406042,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",2
30,0,320.912422390867,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",2
40,0,341.964611260731,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",2
50,0,363.090009995637,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",2
60,0,349.483458537718,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",2
75,0,328.85382126961,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",2
100,0,336.194561366844,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",2
5,0,287.445608966977,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",3
10,0,301.76794207162,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",3
20,0,317.444485146901,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",3
30,0,343.639820480515,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",3
40,0,322.659827170625,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",3
50,0,332.362772718584,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",3
60,0,341.537928490178,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",3
75,0,322.907305485061,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",3
100,0,337.258708561684,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",3
5,0,833.239145772234,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",4
10,0,729.102626587437,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",4
20,0,727.497448231024,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",4
30,0,741.148976568798,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",4
40,0,753.585163284089,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",4
50,0,749.99881132754,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",4
60,0,743.579634358179,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",4
75,0,727.231756827259,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",4
100,0,744.311588653485,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",4
5,0,532.349047235597,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",5
10,0,504.65673358085,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",5
20,0,418.893365974342,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",5
30,0,418.460100052875,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",5
40,0,422.20107802624,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",5
50,0,468.878471617215,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",5
60,0,439.06004184838,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",5
75,0,433.701413429819,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",5
100,0,421.06586041706,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",5
5,0,433.626706163352,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",6
10,0,482.712153277156,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",6
20,0,433.033912977737,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",6
30,0,405.592385103815,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",6
40,0,396.221736234735,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",6
50,0,415.186679067205,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",6
60,0,413.511519023885,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",6
75,0,379.671738115515,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",6
100,0,387.980511389372,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",6
5,0,851.878306522397,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",7
10,0,663.132264713787,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",7
20,0,679.878298155055,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",7
30,0,639.977084596168,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",7
40,0,629.559125096306,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",7
50,0,623.932165462886,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",7
60,0,616.673805770187,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",7
75,0,626.615648749507,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",7
100,0,653.252880510952,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",7
5,0,353.485242276277,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",8
10,0,424.231997140854,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",8
20,0,392.598667031829,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",8
30,0,384.19314794121,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",8
40,0,349.275911813287,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",8
50,0,344.672710540462,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",8
60,0,364.779685369186,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",8
75,0,376.497546556842,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",8
100,0,375.558825777652,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",8
5,0,459.095936108378,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",9
10,0,384.877416676958,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",9
20,0,334.027617479437,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",9
30,0,369.310938742778,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",9
40,0,374.362195401149,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",9
50,0,395.596864656415,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",9
60,0,381.016408474168,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",9
75,0,357.932534269283,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",9
100,0,383.633092154577,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",9
5,0,783.06979430715,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",10
10,0,745.890650977715,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",10
20,0,715.010919249906,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",10
30,0,695.277497005852,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",10
40,0,691.094512095933,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",10
50,0,702.007589257108,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",10
60,0,700.483299370482,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",10
75,0,730.219860141957,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",10
100,0,713.881783002619,1,1,1000,9000,0,0,"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",10
5,0,1.50158763246606,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",1
10,0,1.54941075618758,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",1
20,0,1.43160721351615,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",1
30,0,1.45381856384815,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",1
40,0,1.57363210702194,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",1
50,0,1.46399203872957,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",1
60,0,1.44773552294313,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",1
75,0,1.51812214182081,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",1
100,0,1.51800925870699,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",1
5,0,1.83540797434586,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",2
10,0,2.00092937172654,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",2
20,0,1.83055137838753,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",2
30,0,1.79677284661404,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",2
40,0,1.87254754520157,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",2
50,0,1.90293969144822,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",2
60,0,1.79555732904563,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",2
75,0,1.85127677810961,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",2
100,0,1.89077453736096,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",2
5,0,1.38342473070758,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",3
10,0,1.39392431718854,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",3
20,0,1.39417372149083,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",3
30,0,1.47723336989374,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",3
40,0,1.35858423440279,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",3
50,0,1.35363834628862,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",3
60,0,1.33924434286744,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",3
75,0,1.35708239773539,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",3
100,0,1.33200506788828,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",3
5,0,1.6401696207079,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",4
10,0,1.48652814352684,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",4
20,0,1.31779893490871,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",4
30,0,1.36864292921566,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",4
40,0,1.26803222325281,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",4
50,0,1.27400306757654,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",4
60,0,1.31646787774076,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",4
75,0,1.30217689181281,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",4
100,0,1.29064952657027,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",4
5,0,1.34206459652046,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",5
10,0,1.32411587864294,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",5
20,0,1.42575659957554,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",5
30,0,1.33383534523546,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",5
40,0,1.29146440160342,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",5
50,0,1.30876098850923,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",5
60,0,1.34221238385301,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",5
75,0,1.33171850800869,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",5
100,0,1.35804433752585,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",5
5,0,1.95953651256428,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",6
10,0,2.05260983668959,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",6
20,0,1.64951118961949,1,1,10,190,0,0,"Linear: n=200/p=200, High Sparsity, AR1","gaussian",6
