"scenario","family","M","mean_test_error","sd_test_error","mean_tpr","sd_tpr","mean_fpr","sd_fpr"
"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",5,553.754279574114,200.928329575623,1,0,1,0
"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",10,513.265389563358,169.994177327127,1,0,1,0
"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",20,480.803587301064,167.091091369788,1,0,1,0
"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",30,483.970931243533,155.038701507647,1,0,1,0
"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",40,475.392124012023,157.773299589674,1,0,1,0
"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",50,486.774059655188,151.926371499656,1,0,1,0
"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",60,483.283877091408,149.830624140078,1,0,1,0
"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",75,481.249655997571,160.8821719494,1,0,1,0
"Linear: n=100/p=10000, Medium Sparsity, Identity","gaussian",100,489.686907651421,160.170609239273,1,0,1,0
"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",5,1.22878263974007,0.283194275964292,1,0,1,0
"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",10,1.23037424890284,0.281934348727133,1,0,1,0
"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",20,1.2294675785408,0.281276800489164,1,0,1,0
"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",30,1.23101145205504,0.280361036398257,1,0,1,0
"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",40,1.22856947105628,0.282450989451021,1,0,1,0
"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",50,1.22950286193503,0.283486217523669,1,0,1,0
"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",60,1.22908306730085,0.284286193701419,1,0,1,0
"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",75,1.22801556481621,0.282417852376397,1,0,1,0
"Linear: n=100/p=500, Dense Sparsity, Block","gaussian",100,1.22896108072533,0.284371710019725,1,0,1,0
"Linear: n=200/p=200, High Sparsity, AR1","gaussian",5,1.69242622253134,0.414608772916711,1,0,1,0
"Linear: n=200/p=200, High Sparsity, AR1","gaussian",10,1.67950244850806,0.467183291083918,1,0,1,0
"Linear: n=200/p=200, High Sparsity, AR1","gaussian",20,1.61398270744118,0.394339424945586,1,0,1,0
"Linear: n=200/p=200, High Sparsity, AR1","gaussian",30,1.5825424762604,0.392529049308646,1,0,1,0
"Linear: n=200/p=200, High Sparsity, AR1","gaussian",40,1.60524631504887,0.461720935505448,1,0,1,0
"Linear: n=200/p=200, High Sparsity, AR1","gaussian",50,1.59922401268333,0.45970852262577,1,0,1,0
"Linear: n=200/p=200, High Sparsity, AR1","gaussian",60,1.58408573634849,0.448666736316523,1,0,1,0
"Linear: n=200/p=200, High Sparsity, AR1","gaussian",75,1.59672344713264,0.455304249627737,1,0,1,0
"Linear: n=200/p=200, High Sparsity, AR1","gaussian",100,1.59044385387849,0.43867637886583,1,0,1,0
